000000000000000000a1`868`62`34`192`0000000000000000008s`1980-05-22 02:00:00.0`367`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`12518
00000000000000000014`1177`121`256`308`00000000000000000040`1976-05-10 01:00:00.0`46`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`23599
0000000000000000002y`4274`119`251`354`0000000000000000006f`1979-05-17 01:00:00.0`112`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`10546
000000000000000000lo`1991`67`164`123`0000000000000000000g`1977-09-11 02:00:00.0`5122`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`2629
0000000000000000003l`3555`89`228`171`00000000000000000097`1981-05-15 02:00:00.0`135`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`1576
0000000000000000005e`1618`92`179`105`0000000000000000006a`1981-05-29 02:00:00.0`200`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`16973
000000000000000000va`773`122`42`350`00000000000000000079`1979-09-05 02:00:00.0`6232`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`7102
000000000000000000nd`3287`32`83`19`0000000000000000000t`1977-01-01 01:00:00.0`5183`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`18392
000000000000000000oz`3800`59`140`99`0000000000000000004f`1980-06-25 02:00:00.0`5241`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`18215
000000000000000000qp`4046`95`132`330`0000000000000000002q`1982-09-20 02:00:00.0`5303`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`7657
000000000000000000w6`4277`55`45`91`0000000000000000002d`1977-01-24 01:00:00.0`6264`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`13090
0000000000000000008a`2168`58`161`348`0000000000000000005c`1982-03-27 01:00:00.0`304`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`21202
0000000000000000003m`1530`51`150`151`0000000000000000008k`1980-11-06 01:00:00.0`136`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`4232
000000000000000000gi`207`131`39`167`0000000000000000003f`1978-02-07 01:00:00.0`4936`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`23873
000000000000000000op`2206`63`5`306`0000000000000000004r`1978-05-14 01:00:00.0`5231`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`11053
000000000000000000jr`63`38`130`11`0000000000000000002x`1982-05-09 02:00:00.0`5053`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`13818
000000000000000000l4`3717`103`97`286`0000000000000000000j`1976-12-17 01:00:00.0`5102`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`20686
0000000000000000008i`4733`7`235`241`0000000000000000002r`1982-09-26 02:00:00.0`312`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`5621
000000000000000000dx`4051`22`56`212`00000000000000000096`1979-06-15 02:00:00.0`4854`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`19808
00000000000000000080`1668`68`258`34`0000000000000000002j`1977-04-06 01:00:00.0`294`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`12081
0000000000000000005d`2248`25`162`256`00000000000000000047`1978-01-17 01:00:00.0`199`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`23274
000000000000000000bo`2541`84`176`325`0000000000000000004n`1982-10-16 01:00:00.0`4909`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`19086
000000000000000000rq`2989`43`18`251`0000000000000000008i`1978-04-12 01:00:00.0`5340`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`18433
000000000000000000ux`3942`109`60`164`0000000000000000000b`1983-03-07 01:00:00.0`6219`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`19267
0000000000000000002r`2417`27`200`228`0000000000000000007y`1980-01-21 01:00:00.0`105`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`25147
000000000000000000aa`2505`90`155`179`0000000000000000006p`1978-06-04 02:00:00.0`472`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`6167
000000000000000000q3`3808`3`2`42`0000000000000000005w`1982-11-27 01:00:00.0`5281`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`24678
000000000000000000ma`4518`78`52`83`0000000000000000000y`1982-03-12 01:00:00.0`5144`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`6792
0000000000000000001f`3247`10`222`140`00000000000000000074`1982-11-11 01:00:00.0`57`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`11761
000000000000000000pf`1440`101`69`132`00000000000000000091`1979-08-11 02:00:00.0`5257`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`22068
00000000000000000098`4904`141`230`341`0000000000000000006z`1979-06-29 02:00:00.0`338`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`10650
0000000000000000001c`4087`112`94`351`0000000000000000004k`1981-06-20 02:00:00.0`54`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`13468
0000000000000000006e`965`37`216`45`0000000000000000006c`1979-08-01 02:00:00.0`236`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`9939
0000000000000000001y`2100`71`146`161`0000000000000000004z`1977-11-16 01:00:00.0`76`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`4925
000000000000000000q0`3816`79`209`150`00000000000000000016`1981-09-25 02:00:00.0`5278`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`3152
0000000000000000007m`4990`36`24`39`0000000000000000002b`1980-11-17 01:00:00.0`280`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`21329
000000000000000000db`4207`120`80`5`0000000000000000003w`1980-10-18 01:00:00.0`4832`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`15523
000000000000000000ld`4326`93`62`130`0000000000000000003o`1979-07-21 02:00:00.0`5111`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`3139
000000000000000000wr`4644`4`121`353`00000000000000000019`1982-08-11 02:00:00.0`6`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`5164
000000000000000000dn`3807`104`119`97`0000000000000000004h`1979-06-01 02:00:00.0`4844`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`24833
000000000000000000fa`4459`138`67`293`00000000000000000046`1980-10-28 01:00:00.0`6281`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`9165
000000000000000000vh`2899`133`89`304`00000000000000000013`1979-01-25 01:00:00.0`6239`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`17623
000000000000000000px`922`107`92`235`00000000000000000005`1983-01-10 01:00:00.0`5275`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`2650
000000000000000000eh`4363`48`122`56`0000000000000000003m`1982-02-27 01:00:00.0`4874`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`15784
000000000000000000jy`1769`124`145`258`0000000000000000002p`1982-07-23 02:00:00.0`5060`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`19373
000000000000000000p2`4301`77`147`162`00000000000000000085`1980-11-09 01:00:00.0`5244`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`1301
00000000000000000075`3584`134`173`176`0000000000000000008g`1980-01-14 01:00:00.0`263`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`14592
00000000000000000008`1309`139`32`18`0000000000000000006j`1977-04-17 01:00:00.0`14`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`13103
000000000000000000d4`3444`127`59`60`0000000000000000001k`1979-10-28 01:00:00.0`4825`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`13685
000000000000000000tz`3056`87`95`200`00000000000000000076`1980-04-17 02:00:00.0`6185`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`11430
0000000000000000004c`178`53`55`155`0000000000000000004i`1982-11-17 01:00:00.0`162`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`7878
000000000000000000qx`495`64`58`2`0000000000000000004w`1980-07-30 02:00:00.0`5311`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`6178
000000000000000000ka`1891`118`196`52`0000000000000000000i`1981-11-17 01:00:00.0`5072`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`27279
000000000000000000nw`1492`41`51`343`0000000000000000001o`1976-05-31 02:00:00.0`5202`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`1079
000000000000000000jl`19`57`170`319`0000000000000000005k`1982-10-07 01:00:00.0`5047`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`19366
000000000000000000pc`1121`35`271`222`0000000000000000004b`1976-08-05 02:00:00.0`5254`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`14558
000000000000000000at`508`33`246`69`00000000000000000002`1981-03-14 01:00:00.0`491`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`22690
000000000000000000aj`3471`110`131`230`0000000000000000001g`1978-06-10 02:00:00.0`481`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`18736
000000000000000000e0`4649`116`63`94`0000000000000000008v`1976-08-28 02:00:00.0`4857`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`12579
000000000000000000kf`4102`102`210`305`00000000000000000066`1981-12-18 01:00:00.0`5077`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`6379
0000000000000000008q`1850`125`38`344`0000000000000000001x`1981-06-03 02:00:00.0`320`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`9988
0000000000000000000q`3811`126`198`216`0000000000000000006e`1976-11-01 01:00:00.0`32`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`16783
000000000000000000cb`4695`76`103`146`0000000000000000002m`1980-03-30 01:00:00.0`4796`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`11575
000000000000000000rx`1864`14`7`209`0000000000000000008h`1980-03-12 01:00:00.0`4760`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`825
000000000000000000tj`4048`44`182`24`00000000000000000060`1979-05-22 01:00:00.0`6169`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`6424
000000000000000000e3`1232`135`22`80`00000000000000000042`1980-06-18 02:00:00.0`4860`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`25431
000000000000000000cc`2639`136`225`62`0000000000000000005t`1983-01-31 01:00:00.0`4797`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`15611
000000000000000000c3`4723`117`68`339`0000000000000000000o`1981-08-16 02:00:00.0`4788`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`904
000000000000000000cx`2821`15`195`121`00000000000000000028`1982-06-27 02:00:00.0`4818`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`18521
00000000000000000048`3034`50`25`119`0000000000000000001q`1980-02-08 01:00:00.0`158`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`3763
000000000000000000dj`3969`13`169`67`0000000000000000003d`1981-05-01 02:00:00.0`4840`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`10378
000000000000000000cz`4010`86`227`89`0000000000000000003b`1981-12-28 01:00:00.0`4820`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`11160
000000000000000000ui`3697`54`84`296`0000000000000000001v`1983-01-14 01:00:00.0`6204`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`398
000000000000000000g5`255`6`166`314`0000000000000000002h`1978-08-10 02:00:00.0`4923`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`8948
000000000000000000t3`1526`20`217`92`00000000000000000088`1982-01-22 01:00:00.0`6153`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`12002
0000000000000000007o`2343`74`243`122`0000000000000000008q`1981-08-18 02:00:00.0`282`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`4156
0000000000000000002c`278`23`264`145`0000000000000000002k`1978-10-07 01:00:00.0`90`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`5481
000000000000000000v9`2166`142`43`147`0000000000000000003e`1980-02-09 01:00:00.0`6231`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`26122
00000000000000000022`4575`137`109`288`00000000000000000041`1981-06-29 02:00:00.0`80`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`21094
000000000000000000qh`4438`72`27`173`00000000000000000043`1981-01-13 01:00:00.0`5295`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`4354
000000000000000000kj`1660`8`90`32`00000000000000000080`1981-06-16 02:00:00.0`5081`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`21446
000000000000000000ic`4421`113`229`59`0000000000000000004t`1978-12-08 01:00:00.0`5002`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`5256
000000000000000000dq`657`49`3`95`0000000000000000000w`1979-06-23 02:00:00.0`4847`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`9890
00000000000000000053`753`96`78`55`0000000000000000001n`1983-03-16 01:00:00.0`189`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`22024
000000000000000000ly`4399`106`10`58`0000000000000000002n`1981-12-19 01:00:00.0`5132`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`16282
0000000000000000009g`2209`17`260`318`0000000000000000001j`1981-08-01 02:00:00.0`346`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`26300
0000000000000000001a`240`128`194`196`0000000000000000001m`1980-08-08 02:00:00.0`52`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`260
0000000000000000000e`4153`82`101`51`0000000000000000008u`1979-12-30 01:00:00.0`20`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`5303
000000000000000000my`4859`114`141`317`0000000000000000005g`1977-02-13 01:00:00.0`5168`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`23334
000000000000000000p1`2349`21`112`170`0000000000000000001f`1976-08-29 02:00:00.0`5243`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`12821
000000000000000000ox`1150`70`37`271`0000000000000000008t`1982-05-15 02:00:00.0`5239`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`2348
0000000000000000007l`350`66`71`246`0000000000000000004q`1977-12-06 01:00:00.0`279`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`18417
000000000000000000oc`636`75`219`342`0000000000000000007j`1980-08-14 02:00:00.0`5218`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`9228
000000000000000000rw`2369`65`79`131`0000000000000000006u`1982-05-20 02:00:00.0`4759`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`23809
0000000000000000008w`721`28`36`63`0000000000000000003n`1978-09-27 02:00:00.0`326`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`26744
000000000000000000nk`2511`129`120`210`0000000000000000001r`1982-12-02 01:00:00.0`5190`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`8090
000000000000000000so`4680`81`93`38`0000000000000000005u`1983-01-01 01:00:00.0`6138`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`9986
000000000000000000ni`1370`88`203`198`00000000000000000012`1982-04-05 02:00:00.0`5188`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`16299
00000000000000000032`774`9`233`103`0000000000000000005i`1978-04-02 01:00:00.0`116`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`7584
0000000000000000006r`2411`30`4`7`0000000000000000002v`1981-07-25 02:00:00.0`249`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`5346
000000000000000000ul`2151`100`104`182`00000000000000000007`1982-09-02 02:00:00.0`6207`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`15191
000000000000000000mn`2395`1`138`302`00000000000000000052`1982-03-17 01:00:00.0`5157`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`136
000000000000000000uh`1207`26`188`334`0000000000000000008e`1978-05-21 01:00:00.0`6203`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`5904
00000000000000000097`1164`111`183`22`0000000000000000009a`1982-12-21 01:00:00.0`337`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`4504
000000000000000000nz`3933`115`133`225`0000000000000000000m`1977-02-21 01:00:00.0`5205`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`5782
000000000000000000oi`1886`47`107`329`00000000000000000069`1981-10-26 01:00:00.0`5224`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`24905
000000000000000000xi`1197`108`48`68`00000000000000000095`1982-09-12 02:00:00.0`3919`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`26589
000000000000000000up`574`73`239`195`0000000000000000001w`1983-01-06 01:00:00.0`6211`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`6741
00000000000000000042`3845`12`160`25`0000000000000000005f`1981-04-03 02:00:00.0`152`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`9520
000000000000000000ei`1983`40`124`328`0000000000000000000p`1981-10-04 01:00:00.0`4875`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`3530
000000000000000000ll`1671`31`197`169`00000000000000000094`1977-09-04 02:00:00.0`5119`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`9757
000000000000000000fi`2684`46`77`227`0000000000000000004p`1979-10-19 01:00:00.0`6289`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`1774
000000000000000000sw`1641`61`242`84`0000000000000000006b`1977-02-03 01:00:00.0`6146`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`13700
0000000000000000004s`1186`16`238`166`0000000000000000002c`1981-04-23 02:00:00.0`178`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`15060
0000000000000000003x`3644`29`134`280`0000000000000000004m`1976-10-31 01:00:00.0`147`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`15561
000000000000000000da`4849`98`178`217`0000000000000000007s`1980-01-31 01:00:00.0`4831`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`15923
000000000000000000oa`2303`85`257`281`00000000000000000061`1980-01-15 01:00:00.0`5216`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`2513
0000000000000000007e`1136`123`184`243`0000000000000000007t`1977-06-15 02:00:00.0`272`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`7887
000000000000000000nb`1651`105`139`264`0000000000000000006r`1979-01-14 01:00:00.0`5181`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`8356
000000000000000000df`3113`19`127`43`0000000000000000007c`1980-09-16 02:00:00.0`4836`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`21851
00000000000000000043`3541`99`87`109`00000000000000000017`1979-05-09 01:00:00.0`153`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`22184
0000000000000000008f`1009`91`244`27`00000000000000000031`1980-10-21 01:00:00.0`309`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`24974
0000000000000000005l`2455`11`255`90`0000000000000000000r`1981-11-18 01:00:00.0`207`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`25258
000000000000000000ev`4747`34`53`322`0000000000000000002i`1976-07-29 02:00:00.0`4888`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`12012
000000000000000000sp`2750`42`221`300`0000000000000000008y`1982-01-23 01:00:00.0`6139`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`6576
000000000000000000p5`2138`83`64`229`0000000000000000008c`1977-04-26 01:00:00.0`5247`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`13162
000000000000000000k7`3149`140`118`3`0000000000000000006d`1981-04-11 02:00:00.0`5069`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`19014
0000000000000000002f`4004`132`41`78`00000000000000000003`1978-11-16 01:00:00.0`93`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`1009
000000000000000000n1`2284`45`57`10`00000000000000000026`1981-09-30 01:00:00.0`5171`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`20480
0000000000000000002l`4665`39`190`260`0000000000000000000a`1978-07-02 02:00:00.0`99`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`16546
000000000000000000m0`2841`5`35`194`00000000000000000078`1976-06-11 02:00:00.0`5134`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`3771
000000000000000000w3`2605`130`33`333`0000000000000000005e`1983-01-25 01:00:00.0`6261`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`12314
000000000000000000fj`3590`97`110`101`00000000000000000099`1981-12-08 01:00:00.0`6290`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`9727
000000000000000000r9`1663`56`116`345`0000000000000000002t`1979-10-22 01:00:00.0`5323`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`25570
000000000000000000qc`4857`18`102`141`0000000000000000003x`1980-07-11 02:00:00.0`5290`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`14637
000000000000000000bc`3382`60`125`112`00000000000000000034`1978-10-23 01:00:00.0`510`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`16992
000000000000000000gj`4510`2`223`37`00000000000000000011`1977-03-19 01:00:00.0`4937`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`11700
00000000000000000069`1363`52`262`299`0000000000000000008b`1982-03-13 01:00:00.0`231`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`19684
000000000000000000ik`361`69`126`324`00000000000000000090`1976-06-08 02:00:00.0`5010`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`12844
000000000000000000ao`1285`94`249`352`0000000000000000001z`1979-11-09 01:00:00.0`486`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`7914
000000000000000000a9`1457`24`76`71`00000000000000000063`1980-12-16 01:00:00.0`471`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`14890
000000000000000000fk`2401`80`206`219`00000000000000000027`1976-12-07 01:00:00.0`6291`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`3031
000000000000000000pd`1561`62`14`79`00000000000000000010`1976-06-30 02:00:00.0`5255`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`17286
